Title,Distributor,Release Date,Rating,Genre1,Genre2,Genre3,Country1,Country2,Country3,Director1,Director2,Director3,Actor1,Actor2,Actor3,"Lifetime
Gross","Preview
Gross","Opening
Day","Opening
Day
Gross","Opening
Day
Screens","Opening
Day
Theatres","Opening
Weekend
Gross","Opening
Weekend
Screens","Opening
Weekend
Theatres","Opening
Week
Gross","Opening
Week
Screens","Opening
Week
Theatres","% of
Opening
Weekend
to Week"
Maheshinte Prathikaaram,Independent,17/03/2016,,Drama,Thriller,Romance,India,,,Dileesh Pothan,,,Fahadh Faasil,Jaffer Idukki,Soubin Shahir,5435,,Thursday,829,1,,4350,1,,5435,2,,80%
Seymour: An Introduction,Hi Gloss,16/03/2016,EX,Documentary,,,USA,,,Ethan Hawke,,,SEYMOUR BERSTEIN,JIYANG CHEN,,2878,624,Wednesday,526,1,,624,1,,624,1,,100%
"Boy and the Beast, The",Madman,14/03/2016,PG,Action,Adventure,Drama,Japan,,,Mamoru Hosoda,,,Kumiko Asô,Morgan Berry,John Swasey,140526,128128,Monday,11288,8,,89001,41,,106773,42,,83%
Bolshoi Ballet The Lady of Camellias,Sharmill,12/03/2016,EX,Special Event,Opera,Live,Russia,,,,,,,,,15281,,Saturday,3141,7,,8069,7,,15281,7,,53%
Ardaas,Sippy,11/03/2016,M,Action,Thriller,,India,,,Dalbir Singh,,,Gurpreet Ghuggi,Rana Ranbir,Sardar Sohi,471353,669,Friday,19565,15,,212583,15,,340454,15,,62%
Kadhalum Kadanthu Pogum,MKS Retail,11/03/2016,PG,Comedy,Drama,Romance,India,,,Nalan Kumarasamy,,,Vijay Sethupathi,Madonna Sebastian,Samuthirakani,41639,,Friday,13990,6,,33620,6,,38834,6,,87%
Paris Opera Ballet: Ballets Russes,Palace,11/03/2016,EX,Special Event,Opera,,France,,,Vello Pähn,,,,,,16574,,Friday,750,1,,10486,9,,16574,10,,63%
10 Cloverfield Lane,Paramount,10/03/2016,M,Drama,Sci-fi,Mystery,USA,,,Dan Trachtenberg,,,Mary Elizabeth Winstead,John Goodman,John Gallagher Jr.,4150446,,Thursday,207939,232,,1455602,232,,2010291,232,,72%
Grimsby,Roadshow,10/03/2016,MA15+,Action,Adventure,Comedy,USA,UK,,Louis Leterrier,,,Sacha Baron Cohen,Mark Strong,Annabelle Wallis,3796435,,Thursday,234385,323,,1609861,323,,2183114,323,,74%
Dinosaurs: Prehistoric Planet 3D,Imax,10/03/2016,EX,Documentary,,,UK,,,Benedict Cumberbatch,,,Benedict Cumberbatch,,,736980,8895,Thursday,,,,4527,1,,9146,1,,49%
Love Punjab,Mindblowing,10/03/2016,PG,Comedy,Drama,,India,,,Rajiv Dhingra,,,Amrinder Gill,Sargun Mehta Dubey,Manveer Johal,698595,,Thursday,27862,19,,406601,27,,594992,27,,68%
"Will to Fly, The",Dashboard Animals & Binding Films,10/03/2016,G,Documentary,,,Australia,China,Finland,Leo Baker,,,Frank L. Bare II,Alisa Camplin,Elizabeth Gardener,112441,,Thursday,7359,9,,8999,10,,15228,10,,59%
Victoria,Madman,10/03/2016,MA15+,Drama,Thriller,Crime,Germany,,,Sebastian Schipper,,,Laia Costa,Frederick Lau,Max Mauff,76703,,Thursday,560,1,,5592,1,,6699,1,,83%
Spear,Cinemaplus,10/03/2016,M,Drama,,,Australia,,,Stephen Page,,,Waangenga Blanco,Troy Honeysett,Gavin James,35684,,Thursday,1643,5,,8664,5,,12633,5,,69%
Always Be My Maybe,ABS-CBN,10/03/2016,PG,Romance,,,Philippines,,,Dan Villegas,,,Gerald Anderson,,,16544,,Thursday,2135,5,,11783,5,,15334,5,,77%
Queen: A Night in Bohemia,More2Screen,6/03/2016,EX,Documentary,Special Event,Concert,UK,USA,,Tom Corcoran,,,Freddie Mercury,John Deacon,Brian May,18745,,Sunday,12145,22,,12145,22,,18745,22,,65%
Met Opera: Les Pecheurs De Perles,Sharmill,5/03/2016,EX,Special Event,Opera,Live,USA,,,,,,,,,130564,,Saturday,37338,28,,93218,28,,106856,29,,87%
Jai Gangaajal,Friends India,4/03/2016,M,Drama,Crime,,India,,,Prakash Jha,,,Ankush Bali,Rahul Bhat,Indraneel Bhattacharya,48902,,Friday,9708,11,,29836,11,,41499,11,,72%
Pokkiri Raja,Independent,4/03/2016,,Comedy,,,India,,,Ramprakash Rayappa,,,Jiiva,Sibiraj,Hansika Motwani,10405,,Friday,4073,5,,10405,5,,10405,5,,100%
Opera Roma: La Cenerentola,Palace,4/03/2016,EX,Special Event,Opera,,Italy,,,,,,,,,7927,,Friday,1775,9,,6092,9,,7927,9,,77%
Zubaan,Mindblowing,4/03/2016,MA15+,Drama,,,India,,,Mozez Singh,,,Raaghav Chanana,Sarah-jane Dias,Vicky Kaushal,3424,,Friday,834,7,,2620,7,,3424,7,,77%
"Lady in the Van, The",Sony,3/03/2016,M,Comedy,Drama,Biography,UK,,,Nicholas Hytner,,,Maggie Smith,Dominic Cooper,Frances De La Tour,9666755,,Thursday,355741,266,,2077445,266,,3345513,266,,62%
Triple 9,Roadshow,3/03/2016,MA15+,Drama,Crime,,USA,,,John Hillcoat,,,Norman Reedus,Aaron Paul,Kate Winslet,965665,,Thursday,75993,145,,453050,145,,629936,145,,72%
"Finest Hours, The",Walt Disney,3/03/2016,PG,Action,Drama,Thriller,USA,,,Craig Gillespie,,,Chris Pine,Ben Foster,Kyle Gallner,490267,,Thursday,32977,183,,237858,183,,337288,183,,71%
TED 2016 Dream,Sharmill,2/03/2016,EX,Special Event,Live,,Canada,USA,,,,,,,,145014,121627,Wednesday,121627,38,,,38,,121627,38,,
Imagine Dragons - Smoke + Mirrors - Live,Cinema Live,2/03/2016,EX,Special Event,Music,Live,USA,,,,,,,,,7990,7990,Wednesday,7990,10,,,10,,7990,10,,
Teatro alla Scala: The Temple of Wonders,Sharmill,27/02/2016,EX,Special Event,Opera,Live,Italy,,,Silvia Corbetta,Luca Lucini,Piero Maranghi,Filippo Nigro,Giuseppe Cederna,Francesca Inaudi,51380,,Saturday,15541,27,,36604,27,,43895,27,,83%
Bolshoi Ballet: Giselle,Sharmill,27/02/2016,EX,Special Event,Live,,Russia,,,,,,,,,20869,,Saturday,8760,11,,18531,11,,19191,11,,97%
ENO: The Barber of Seville,Potential,27/02/2016,EX,Special Event,Live,,UK,,,Jonathan Miller,,,,,,11320,,Saturday,3184,13,,8991,13,,9101,13,,99%
Aligarh,Eros Australia,27/02/2016,,Drama,Biography,,India,,,Hansal Mehta,,,Manoj Bajpayee,Sukhesh Arora,Balaji Gauri,823,,Saturday,736,2,,736,2,,736,2,,100%
Royal Ballet: Rhapsody/The Two Pigeons,Palace,26/02/2016,EX,Special Event,Opera,,UK,,,,,,,,,17842,,Friday,3242,9,,13325,9,,17842,9,,75%
Tere Bin Laden Dead or Alive,Friends India,26/02/2016,M,Comedy,,,India,,,Abhishek Sharma,,,Iman Crosson,Sikander Kher,Piyush Mishra,5293,,Friday,1159,10,,3900,10,,5249,10,,74%
"Hail, Caesar!",Universal,25/02/2016,PG,Comedy,Drama,Musical,USA,Japan,UK,Ethan Coen,Joel Coen,,Scarlett Johansson,Channing Tatum,Jonah Hill,3963514,196617,Thursday,185449,260,,1268290,260,,1677143,260,,76%
Gods of Egypt,eOne,25/02/2016,M,Adventure,Fantasy,,Australia,USA,,Alex Proyas,,,Gerard Butler,Nikolaj Coster-Waldau,Geoffrey Rush,2530929,2000,Thursday,168248,198,,901326,198,,1177986,198,,77%
13 Hours: The Secret Soldiers of Benghazi,Paramount,25/02/2016,MA15+,Action,Drama,Thriller,USA,,,Michael Bay,,,Pablo Schreiber,John Krasinski,Max Martini,1344564,25637,Thursday,102852,166,,610129,166,,816202,166,,75%
Pride and Prejudice and Zombies,Roadshow,25/02/2016,MA15+,Action,Horror,Romance,USA,,,Burr Steers,,,Lily James,Lena Headey,Douglas Booth,353167,,Thursday,32265,119,,183415,119,,251980,119,,73%
Son of Saul,Sony,25/02/2016,M,Drama,Thriller,History,Hungary,,,László Nemes,,,Géza Röhrig,Levente Molnár,Urs Rechn,314430,,Thursday,7827,10,,57721,10,,83864,10,,69%
America Wild 3D,Imax,25/02/2016,EX,Documentary,,,USA,,,,,,Robert Redford,,,195115,431,Thursday,,,,12716,2,,18353,2,,69%
"Violent Prosecutor, A",Dreamwest Pictures,25/02/2016,M,Crime,,,South Korea,,,Il-Hyeong Lee,,,Jeong-min Hwang,Dong-won Kang,Byeong-ok Kim,185000,,Thursday,19096,12,,91717,12,,136164,12,,67%
Theeb,Moving Story Entertainment,25/02/2016,M,Adventure,Drama,Thriller,UK,Jordan,UAE,Naji Abu Nowar,,,Jacir Eid Al-Hwietat,Hussein Salameh Al-Sweilhiyeen,Hassan Mutlag Al-Maraiyeh,6796,486,Thursday,147,1,,1179,1,,1697,1,,69%
Michael Jackson's Journey from Motown to Off The Wall,Independent,25/02/2016,M,Documentary,Special Event,Music,USA,,,Spike Lee,,,Michael Jackson,,,4162,,Thursday,4162,1,,4162,1,,4162,1,,100%
Neerja,Mindblowing,19/02/2016,MA15+,Drama,Biography,,India,,,Ram Madhvani,,,Shabana Azmi,Sonam Kapoor,Shekhar Ravjiani,310632,,Friday,27848,15,,117175,15,,171361,15,,68%
Channo Kamli Yaar Di,Friends India,19/02/2016,M,Drama,,,India,Canada,,Pankaj Batra,,,Binnu Dhillon,Neeru Bajwa,,122024,,Friday,14320,13,,62378,13,,93673,13,,67%
Miruthan,MKS Retail,19/02/2016,MA15+,Action,Horror,,India,,,Shakti Soundar Rajan,,,Jeyam Ravi,Kaali Venkat,Lakshmi Menon,32815,,Friday,8992,9,,26032,9,,30186,9,,86%
Sethupathi,Independent,19/02/2016,M,Action,,,India,,,S. U. Arun Kumar,,,Vijay Sethupathi,Remya Nambeesan,,14734,,Friday,2444,2,,9489,2,,11232,2,,84%
How To Be Single,Warner Bros.,18/02/2016,M,Comedy,Drama,Romance,USA,,,Christian Ditter,,,Dakota Johnson,Alison Brie,Jake Lacy,10966839,,Thursday,456682,254,,2729828,254,,3686707,254,,74%
Ride Along 2,Universal,18/02/2016,M,Action,Comedy,,USA,,,Tim Story,,,Kevin Hart,Tika Sumpter,Ice Cube,2952101,,Thursday,175522,211,,1222462,211,,1506344,211,,81%
"Mermaid, The",Sony,18/02/2016,M,Drama,Romance,Fantasy,China,,,Stephen Chow,,,Chao Deng,Yun Lin,Ivan Kotik,1320856,,Thursday,107234,18,,521956,18,,696215,18,,75%
45 Years,Madman,18/02/2016,M,Drama,Romance,,UK,,,Andrew Haigh,,,Charlotte Rampling,Dolly Wells,Tom Courtenay,978681,,Thursday,29855,41,,206272,41,,313964,41,,66%
Three Wise Cousins,M2S1 Films,18/02/2016,PG,Comedy,,,New Zealand,,,Stallone Vaiaoga-Ioasa,,,Neil Amituanai,Vito Vito,Fesuiai Viliamu,774498,,Thursday,65184,16,,293231,17,,399806,17,,73%
Risen,Sony,18/02/2016,M,Action,Adventure,Drama,USA,,,Kevin Reynolds,,,Tom Felton,Joseph Fiennes,Cliff Curtis,733824,,Thursday,22590,44,,133364,44,,207680,44,,64%
Trumbo,eOne,18/02/2016,M,Drama,Biography,,USA,,,Jay Roach,,,Elle Fanning,Bryan Cranston,Diane Lane,555208,8635,Thursday,19922,37,,142118,37,,199041,37,,71%
Concussion,Roadshow,18/02/2016,M,Drama,Special Event,Biography,USA,UK,Australia,Peter Landesman,,,Will Smith,Bitsie Tulloch,Gugu Mbatha-Raw,536553,,Thursday,38860,128,,272555,128,,375551,128,,73%
Paavada,Independent,18/02/2016,,Comedy,,,India,,,Marthandan,,,Prithviraj Sukumaran,Anoop Menon,Mia George,4162,,Thursday,460,1,,2123,1,,3471,1,,61%
Women of Faith: An Amazing Joyful Journey,Independent,18/02/2016,EX,Documentary,,,USA,,,,,,,,,311,,Thursday,311,1,,311,1,,311,1,,100%
National Theatre Live: Jane Eyre,Sharmill,13/02/2016,EX,Drama,Special Event,Live,UK,,,Sally Cookson,,,Elly Condron,Benji Bower,Craig Edwards,77454,616,Saturday,24002,21,,53308,21,,64660,21,,82%
Fitoor,Mindblowing,12/02/2016,M,Drama,Romance,,India,,,Abhishek Kapoor,,,Katrina Kaif,Tabu,Aditi Rao Hydari,81730,,Friday,14336,16,,59008,16,,73540,16,,80%
Kanye West / Season 3 / Waves,Sharmill,12/02/2016,EX,Special Event,Concert,Music,USA,,,,,,Kanye West,,,54913,,Friday,54913,7,,54913,7,,54913,7,,100%
La Scala: Giovanna d'Arco,Palace,12/02/2016,EX,Special Event,Opera,,Italy,,,,,,,,,12221,,Friday,3735,9,,14483,9,,12131,9,,119%
Deadpool,Fox,11/02/2016,MA15+,Action,Adventure,Comedy,USA,,,Tim Miller,,,Ryan Reynolds,Morena Baccarin,Gina Carano,43336700,,Thursday,2944806,393,,14951406,393,,19198598,393,,78%
Zoolander 2,Paramount,11/02/2016,M,Action,Adventure,Comedy,USA,,,Ben Stiller,,,Will Ferrell,Ben Stiller,Penélope Cruz,7157077,1187499,Thursday,377195,358,,2738457,358,,3324130,358,,82%
Brooklyn,Transmission,11/02/2016,M,Drama,Romance,,Ireland,UK,Canada,John Crowley,,,Saoirse Ronan,Domhnall Gleeson,Michael Zegen,6147189,151457,Thursday,135847,154,,1044971,155,,1591219,155,,66%
Sweet 20,Dreamwest Pictures,11/02/2016,PG,Romantic Comedy,,,Vietnam,,,Phan Gia Nhat Linh,,,Miu Le,Ngo Kien Huy,Hua Vi Van,97572,,Thursday,7391,7,,40420,7,,62466,7,,65%
Everything About Her,ABS-CBN,11/02/2016,M,Comedy,Drama,,Philippines,China,,Joyce Bernal,,,Angel Locsin,Xian Lim,Vilma Santos,70678,,Thursday,8704,11,,43097,11,,58593,11,,74%
Noma My Perfect Storm,Umbrella Ent.,11/02/2016,M,Documentary,,,UK,,,Pierre Deschamps,,,René Redzepi,,,42080,14335,Thursday,3556,7,,7398,7,,11366,7,,65%
Bangalore Naatkal,MKS Retail,11/02/2016,PG,Drama,,,India,,,Anjali Menon,,,Aarya,Rana Daggubati,Sri Divya,22754,18352,Thursday,7598,8,,16070,8,,18352,8,,88%
Jonas Kaufmann An Evening With Puccini,Arts Alliance Media,11/02/2016,EX,Special Event,Concert,Live,Italy,UK,,Brian Large,,,,,,8469,,Thursday,2580,1,,5440,1,,5440,1,,100%
"New Year's Eve of Old Lee, The",China Lion Film,11/02/2016,M,Comedy,,,China,,,Qunshu Gao,,,Benshan Zhao,Ni Ni,,4599,,Thursday,448,4,,3427,4,,4599,4,,75%
"Importance of Being Earnest (Live), The",Sharmill,6/02/2016,EX,Special Event,Opera,Live,UK,,,,,,,,,189857,1910,Saturday,55613,28,,118164,28,,136732,28,,86%
Met Opera: Lulu (Berg),Sharmill,6/02/2016,EX,Special Event,Opera,Live,USA,,,,,,,,,59035,,Saturday,16683,27,,39612,27,,45905,27,,86%
From Vegas to Macau 3,Magnum,5/02/2016,M,Action,Comedy,Drama,China,Hong Kong,,Andrew Lau,Wong Jing,,Andy Lau,Jacky Cheung,Nick Cheung,411966,,Friday,78,1,,147835,17,,261284,18,,57%
Ghayal Once Again,Mindblowing,5/02/2016,M,Action,,,India,,,Sunny Deol,,,Sunny Deol,Om Puri,Soha Ali Khan,114360,,Friday,15474,18,,66329,18,,97134,18,,68%
Visaaranai,MKS Retail,5/02/2016,TBC,Thriller,,,India,,,Vetrimaaran,,,Anandhi,Attakathi Dinesh,Aadukalam Murugadoss,20703,,Friday,2789,4,,10226,4,,12622,4,,81%
Sanam Teri Kasam,Eros Australia,5/02/2016,M,Drama,Romance,,India,,,Radhika Rao,Vinay Sapru,,Mawra Hocane,Vijay Raaz,Harshvardhan Rane,17322,,Friday,2503,8,,9933,8,,15071,8,,66%
"Choice, The",Roadshow,4/02/2016,PG,Drama,Romance,,USA,,,Ross Katz,,,Alexandra Daddario,Maggie Grace,Teresa Palmer,1336261,,Thursday,106704,205,,602836,205,,820391,205,,73%
Steve Jobs,Universal,4/02/2016,M,Biography,,,USA,,,Danny Boyle,,,Kate Winslet,Michael Fassbender,Seth Rogen,736328,146700,Thursday,40550,60,,267006,60,,357512,60,,75%
"Monkey King 2, The",China Lion Film,4/02/2016,M,Action,Adventure,Fantasy,China,Hong Kong,,Pou-soi Cheang,,,Kelly Chen,Shaofeng Feng,Li Gong,271046,,Thursday,11660,21,,90485,21,,161978,21,,56%
Anomalisa,Paramount,4/02/2016,MA15+,Comedy,Drama,Animated,USA,,,Charlie Kaufman,Duke Johnson,,Jennifer Jason Leigh,David Thewlis,Tom Noonan,181615,,Thursday,7262,8,,38127,8,,57275,8,,67%
Irudhi Suttru,MKS Retail,29/01/2016,M,Action,Drama,Special Event,India,,,Sudha Kongara,,,Madhavan,Nasser,,41819,,Friday,,,,16020,6,,23758,6,,67%
Aranmanai 2,Independent,29/01/2016,M,Comedy,Horror,,India,,,Sundar C,,,Hansika Motwani,Poonam Bajwa,,39927,,Friday,11743,7,,31949,7,,37712,7,,85%
Opera de Paris: La Damnation de Faust,Palace,29/01/2016,EX,Special Event,Opera,,France,,,Alvis Hermanis,,,,,,27144,,Friday,5556,9,,22133,9,,27144,9,,82%
Saala Khadoos,Mindblowing,29/01/2016,M,Drama,Thriller,Special Event,India,,,Sudha Kongara,,,Madhavan,Nasser,,14951,,Friday,,,,10015,11,,14352,11,,70%
Dirty Grandpa,eOne,28/01/2016,MA15+,Comedy,,,USA,,,Dan Mazer,,,Zac Efron,Robert De Niro,Aubrey Plaza,6520869,81223,Thursday,359713,221,,2379170,226,,3031867,226,,78%
Spotlight,eOne,28/01/2016,M,Drama,Biography,History,USA,,,Tom McCarthy,,,Rachel McAdams,Mark Ruffalo,Michael Keaton,5752961,83092,Thursday,114251,105,,895991,105,,1235369,106,,73%
Room,Roadshow,28/01/2016,M,Drama,,,Ireland,Canada,,Lenny Abrahamson,,,Brie Larson,Joan Allen,William H. Macy,1412216,168598,Thursday,34685,63,,246922,63,,357902,63,,69%
Looking for Grace,Palace,28/01/2016,M,Drama,,,Australia,,,Sue Brooks,,,Richard Roxburgh,Radha Mitchell,,577690,5158,Thursday,11635,26,,99618,26,,140460,26,,71%
Lazer Team,Tugg,28/01/2016,PG,Action,Comedy,Sci-fi,USA,,,Matt Hullum,,,Alan Ritchson,,,274010,241000,Thursday,241000,47,,241000,47,,241000,47,,100%
Jeremy Scott: The People's Designer,Madman,25/01/2016,PG,Documentary,Biography,,USA,,,Vlad Yudin,,,JEREMEY SCOTT,,,1451,345,Monday,345,1,,345,1,,345,1,,100%
Airlift,Mindblowing,22/01/2016,M,Drama,Thriller,History,India,,,Raja Menon,,,Akshay Kumar,Nimrat Kaur,Sameer Ali Khan,529230,,Friday,41346,19,,196600,19,,367073,19,,54%
Royal Ballet: Cavalleria Rusticana/Pagliacci,Palace,22/01/2016,EX,Special Event,Live,,UK,,,,,,,,,0,,Friday,3659,10,,16471,10,,20648,10,,80%
"Hateful Eight, The",Roadshow,21/01/2016,R18+,Comedy,Drama,Thriller,USA,,,Quentin Tarantino,,,Channing Tatum,Samuel L. Jackson,Kurt Russell,7970136,979213,Thursday,425577,306,,2423642,306,,3498584,306,,69%
"Danish Girl, The",Universal,21/01/2016,M,Drama,Biography,Romance,USA,Belgium,Denmark,Tom Hooper,,,Eddie Redmayne,Amber Heard,Alicia Vikander,2790993,130823,Thursday,119036,125,,693881,125,,1090909,125,,64%
Ip Man 3,Magnum,21/01/2016,M,Action,Drama,Biography,Hong Kong,China,,Wilson Yip,,,Donnie Yen,Patrick Tam,Lynn Hung,1332436,,Thursday,96623,19,,473145,19,,746652,19,,63%
Beauty and the Bestie,ABS-CBN,21/01/2016,M,Action,Comedy,Drama,Philippines,,,Wenn V. Deramas,,,Ellen Adarna,Tess Antonio,Jovit Baldivino,46118,,Thursday,8766,5,,29183,5,,41048,5,,71%
From Dusk Till Dawn (20th Anniversary),Roadshow,21/01/2016,R18+,Action,Crime,,USA,,,Robert Rodriguez,,,George Clooney,Harvey Keitel,Juliette Lewis,11063,,Thursday,5409,14,,5409,14,,5409,14,,100%
20 Once Again,China Lion Film,15/01/2016,PG,Comedy,,,China,South Korea,Taiwan,Leste Chen,,,Yang Zi Shan,Bolin Chen,,99608,40,Friday,15367,10,,48845,10,,72586,10,,67%
Goosebumps,Roadshow,14/01/2016,PG,Action,Adventure,Comedy,USA,,,Rob Letterman,,,Dylan Minnette,Odeya Rush,Jack Black,9863125,,Thursday,836950,331,,2889712,331,,4498290,331,,64%
"Big Short, The",Paramount,14/01/2016,M,Comedy,Drama,Biography,USA,,,Adam Mckay,,,Christian Bale,Karen Gillan,Ryan Gosling,7507034,97994,Thursday,296567,183,,1790278,183,,2435378,183,,74%
"5th Wave, The",Sony,14/01/2016,M,Action,Adventure,Drama,USA,New Zealand,UK,J Blakeson,,,Chloë Grace Moretz,Nick Robinson,Alex Roe,7482951,,Thursday,560549,195,,2184952,195,,3179624,195,,69%
Carol,Transmission,14/01/2016,M,Drama,Romance,,UK,USA,,Todd Haynes,,,Rooney Mara,Cate Blanchett,Sarah Paulson,3099678,123794,Thursday,131468,89,,736191,90,,1074114,90,,69%
Detective Chinatown,China Lion Film,14/01/2016,M,Action,Comedy,,China,,,Sicheng Chen,,,Liya Tong,Baoqiang Wang,,225223,,Thursday,40550,14,,148566,14,,184235,14,,81%
Gia Gan My Nhan Gang To,Cinema Asia,14/01/2016,M,Comedy,,,Vietnam,,,Do Duc Thinh,,,Hoai Linh,Toc Tien,Thuong Tin,51227,,Thursday,10995,3,,25507,3,,32567,3,,78%
Tharai Thappattai,MKS Retail,14/01/2016,MA15+,Drama,Musical,,India,,,Bala,,,Varalaxmi Sarathkumar,M. Sasikumar,G.M. Kumar,26555,,Thursday,4173,7,,24176,8,,26338,8,,92%
Dictator (Telugu),Eros Australia,14/01/2016,,Action,,,India,,,Sriwass,,,Balakrishna,Anjali,Sonal Chauhan,1435,,Thursday,373,1,,535,1,,535,1,,100%
Cemetery of Splendour,Madman,13/01/2016,M,Drama,Fantasy,,Thailand,UK,France,Apichatpong Weerasethakul,,,Jenjira Pongpas,Banlop Lomnoi,Sakda Kaewbuadee,17025,194,Wednesday,194,1,,194,1,,194,1,,100%
"Revenant, The",Fox,7/01/2016,MA15+,Action,Adventure,Drama,USA,Hong Kong,Taiwan,Alejandro González Iñárritu,,,Leonardo Dicaprio,Tom Hardy,Will Poulter,20315856,,Thursday,932092,248,,3961477,248,,5908722,248,,67%
Sisters,Universal,7/01/2016,MA15+,Comedy,,,USA,,,Jason Moore,,,Tina Fey,Amy Poehler,Maya Rudolph,11981045,,Thursday,801425,290,,3288069,290,,4795113,290,,69%
Wazir,Mindblowing,7/01/2016,MA15+,Drama,Thriller,Crime,India,,,Bejoy Nambiar,,,Farhan Akhtar,Aditi Rao Hydari,John Abraham,207665,,Thursday,236,3,,106135,15,,148814,15,,71%
Himalayas,Dreamwest Pictures,7/01/2016,M,Adventure,Drama,Biography,South Korea,,,Seok-hoon Lee,,,Jeong-min Hwang,In-kwon Kim,,151028,,Thursday,14856,11,,60794,11,,95370,11,,64%
Devil and Angel,China Lion Film,7/01/2016,M,Comedy,,,China,,,Chao Deng,,,Sun Li,Deng Chao,Liang Chao,56276,12742,Thursday,11115,12,,33476,12,,43009,12,,78%
My Summer In Provence,Transmission,3/01/2016,M,Drama,Romance,,France,,,Rose Bosch,,,Aure Atika,Jean Reno,Anna Galiena,3501,,Sunday,3501,1,,3501,1,,3501,1,,100%
Sherlock: The Abominable Bride,Sharmill,2/01/2016,M,Drama,Crime,Mystery,UK,,,Douglas Mackinnon,,,Benedict Cumberbatch,Martin Freeman,Mark Gatiss,776672,,Saturday,702780,138,,773895,138,,775248,142,,100%
Point Break,Roadshow,1/01/2016,M,Action,,,USA,Austria,Canada,Ericson Core,,,Édgar Ramírez,Ray Winstone,Luke Bracey,5677304,,Friday,653413,354,,1904560,354,,3225656,355,,59%
Nowhere Boys: The Book of Shadows,Backlot Films,1/01/2016,PG,Sci-fi,,,Australia,,,David Caesar,,,Dougie Baldwin,Joel Lok,Rahart Adams,48775,,Friday,4666,20,,11776,20,,22128,20,,53%
My Bebe Love,Independent,1/01/2016,TBC,Comedy,Romance,,Philippines,,,Jose Javier Reyes,,,,,,39160,,Friday,11550,2,,33108,2,,33108,2,,100%
Mr Six,China Lion Film,31/12/2015,MA15+,Action,Drama,,China,,,Guan Hu,,,Feng Xiaogang,Kris Wu,Zhang Hanyu,541460,23892,Thursday,65066,14,,290154,15,,382365,15,,76%
Tehran Taxi,Madman,27/12/2015,M,Comedy,Drama,,Iran,,,Jafar Panahi,,,Jafar Panahi,,,140025,,Sunday,1094,1,,1094,1,,2918,1,,37%
Mavis,Madman,27/12/2015,PG,Documentary,Special Event,Biography,USA,,,Jessica Edwards,,,Mavis Staples,,,17837,,Sunday,531,1,,531,1,,1276,1,,42%
Daddy's Home,Paramount,26/12/2015,PG,Comedy,Family,,USA,,,Sean Anders,,,Linda Cardellini,Mark Wahlberg,Will Ferrell,21766400,,Saturday,1352231,242,,2862950,242,,6332050,242,,45%
"Good Dinosaur, The",Walt Disney,26/12/2015,PG,Adventure,Comedy,Drama,USA,,,Peter Sohn,,,Neil Patrick Harris,Judy Greer,Bill Hader,14916008,1036135,Saturday,966681,283,,2010429,387,,4531813,387,,44%
Alvin and the Chipmunks: The Road Chip,Fox,26/12/2015,PG,Adventure,Comedy,Family,USA,,,Walt Becker,,,Kaley Cuoco,Anna Faris,Bella Thorne,14016737,,Saturday,791438,348,,1619025,348,,3841526,348,,42%
Joy,Fox,26/12/2015,M,Drama,,,USA,,,David O. Russell,,,Bradley Cooper,Jennifer Lawrence,Robert De Niro,8376776,,Saturday,669244,304,,1399634,304,,3008186,304,,47%
Snoopy and Charlie Brown: The Peanuts Movie,Fox,26/12/2015,G,Comedy,Family,Animated,USA,,,Steve Martino,,,Noah Schnapp,Bill Melendez,Alex Garfin,8183814,745366,Saturday,470740,282,,1248848,282,,2671835,282,,47%
Suffragette,Transmission,26/12/2015,M,Drama,Biography,History,UK,France,,Sarah Gavron,,,Helena Bonham Carter,Meryl Streep,Carey Mulligan,4626797,42591,Saturday,222491,122,,483275,122,,1127907,122,,43%
"Belier Family, The",Palace,26/12/2015,M,Comedy,,,France,Belgium,,Eric Lartigau,,,Karin Viard,François Damiens,Eric Elmosnino,2274608,147069,Saturday,53775,25,,124886,25,,281578,25,,44%
Youth,Studiocanal,26/12/2015,MA15+,Drama,,,Italy,France,Swaziland,Paolo Sorrentino,,,Rachel Weisz,Paul Dano,Harvey Keitel,1301623,61730,Saturday,57160,36,,134098,36,,301532,36,,44%
Peggy Guggenheim: Art Addict,Madman,26/12/2015,M,Documentary,Biography,History,USA,,,Lisa Immordino Vreeland,,,Peggy Guggenheim,,,274326,,Saturday,6474,4,,16201,4,,38023,4,,43%
"Tiger: An Old Hunter's Tale, The",Cinema Asia,24/12/2015,MA15+,Action,Adventure,Thriller,South Korea,,,Hoon-jung Park,,,Min-sik Choi,Man-sik Jeong,Sang-ho Kim,60552,,Thursday,4272,7,,28100,12,,44142,12,,64%
Bill,Studiocanal,24/12/2015,PG,Comedy,Family,History,UK,,,Richard Bracewell,,,Mathew Baynton,Simon Farnaby,Martha Howe-Douglas,43887,,Thursday,56,1,,247,1,,1161,1,,21%
Bajirao Mastani,Eros Australia,18/12/2015,MA15+,Drama,History,Romance,India,,,Sanjay Leela Bhansali,,,Priyanka Chopra,Deepika Padukone,Ranveer Singh,1134350,,Friday,67,1,,305226,29,,506864,29,,60%
Dilwale,Mindblowing,18/12/2015,M,Action,Comedy,Crime,India,,,Rohit Shetty,,,Shah Rukh Khan,Kajol,Kriti Sanon,1089001,,Friday,144638,39,,493577,39,,727426,39,,68%
